66
458.5
0	0	2	0	1	0
0	1	0	1	4	0
0	2	1	26	32	2
0	3	3	32	39	0
0	4	5	48	51	1
0	5	4	59	65	0
1	0	1	0	8	2
1	1	2	8	13	0
1	2	4	13	23	3
1	3	5	35	45	3
1	4	0	45	55	0
1	5	3	55	59	0
2	0	2	1	6	0
2	1	3	6	10	0
2	2	5	10	18	2
2	3	0	20	29	0
2	4	1	34	35	1
2	5	4	35	42	2
3	0	1	10	15	2
3	1	0	15	20	0
3	2	2	22	27	0
3	3	3	39	42	0
3	4	4	44	52	2
3	5	5	57	66	0
4	0	2	13	22	0
4	1	1	22	25	1
4	2	4	26	31	2
4	3	5	52	56	1
4	4	0	56	59	0
4	5	3	59	60	0
5	0	1	17	20	1
5	1	3	20	23	0
5	2	5	23	32	3
5	3	0	32	42	0
5	4	4	54	58	1
5	5	2	58	59	0
