42
0.0
0	0	2	0	4	0
0	1	4	4	7	0
0	2	2	11	15	0
0	3	0	15	16	0
0	4	2	23	24	0
0	5	5	26	32	0
1	0	1	0	6	0
1	1	2	6	7	0
1	2	0	7	9	0
1	3	3	12	18	0
1	4	0	23	24	0
2	0	1	6	12	0
2	1	5	14	16	0
2	2	0	17	18	0
2	3	2	25	29	0
2	4	0	31	32	0
3	0	0	0	1	0
3	1	1	18	24	0
3	2	2	24	25	0
3	3	4	26	29	0
3	4	5	32	34	0
4	0	4	0	3	0
4	1	0	3	4	0
4	2	1	12	18	0
4	3	0	18	23	0
4	4	3	25	31	0
4	5	2	31	35	0
5	0	5	0	2	0
5	1	0	4	6	0
5	2	2	7	11	0
5	3	1	24	30	0
5	4	0	30	31	0
5	5	0	32	35	0
6	0	5	5	6	0
6	1	3	10	12	0
6	2	2	19	23	0
6	3	4	25	26	0
6	4	2	29	30	0
7	0	5	2	4	0
7	1	5	8	14	0
7	2	0	16	17	0
7	3	1	30	36	0
7	4	1	36	42	0
8	0	5	4	5	0
8	1	0	6	7	0
8	2	3	7	10	0
8	3	0	10	12	0
8	4	2	15	19	0
8	5	3	19	25	0
9	0	5	6	8	0
9	1	5	16	22	0
9	2	4	22	25	0
9	3	5	25	26	0
9	4	3	31	37	0
9	5	3	37	39	0
